t,C_free_GB,C_free_perf_GB,pf_alloc_GB,pf_used_GB,commit_used_GB
11:29:52.547,0.987,10.784,51.537,0.841,64.617
11:29:55.636,0.986,10.784,50.308,0.841,64.696
11:29:58.731,2.216,10.784,50.308,0.841,64.624
11:30:01.830,2.216,10.784,50.308,0.841,64.622
11:30:04.924,2.216,10.784,50.308,0.841,64.614
11:30:08.029,2.216,10.784,50.308,0.841,64.673
11:30:11.117,2.216,10.784,50.308,0.841,64.602
11:30:14.224,2.216,10.784,50.308,0.841,64.600
11:30:17.333,2.215,10.784,50.308,0.841,64.601
11:30:20.435,2.215,10.784,50.308,0.841,64.731
11:30:23.529,2.215,10.784,50.308,0.841,64.730
11:30:26.627,2.214,10.784,50.308,0.841,64.712
11:30:29.724,2.540,10.784,49.981,0.841,64.713
11:30:32.824,2.540,10.784,49.981,0.841,64.683
11:30:35.915,2.525,10.784,49.981,0.841,64.704
11:30:39.011,2.525,10.784,49.981,0.841,64.769
11:30:42.112,2.525,10.784,49.981,0.841,64.620
11:30:45.197,2.525,10.784,49.981,0.841,64.623
11:30:48.342,2.525,10.784,49.981,0.841,64.617
11:30:51.444,2.525,10.784,49.981,0.841,64.620
11:30:54.540,2.524,10.784,49.981,0.841,64.626
11:30:57.639,2.524,10.784,49.981,0.841,64.633
11:31:00.732,2.671,10.784,49.834,0.841,64.635
11:31:03.829,2.671,10.784,49.834,0.841,64.648
11:31:06.978,2.671,10.784,49.834,0.841,64.646
11:31:10.093,2.671,10.784,49.834,0.841,64.640
11:31:13.200,2.671,10.784,49.834,0.841,64.621
11:31:16.295,2.671,10.784,49.834,0.841,64.631
11:31:19.389,2.670,10.784,49.834,0.841,64.640
11:31:22.489,2.670,10.784,49.834,0.841,64.639
11:31:25.588,2.670,10.784,49.834,0.841,64.638
11:31:28.697,2.670,10.784,49.834,0.841,64.634
11:31:31.785,2.670,2.669,49.834,0.841,64.627
11:31:34.885,2.670,2.669,49.834,0.841,64.623
11:31:37.995,2.655,2.669,49.834,0.841,65.421
11:31:41.101,2.652,2.669,49.834,0.841,64.653
11:31:44.191,2.651,2.669,49.834,0.841,64.838
11:31:47.290,2.632,2.669,49.834,0.841,65.193
11:31:50.382,2.633,2.669,49.834,0.841,64.655
11:31:53.481,2.633,2.669,49.834,0.841,64.649
